,jurisdiction_of_occurrence,mmwryear,mmwrweek,week_ending_date,all_cause,natural_cause,septicemia_a40_a41,malignant_neoplasms_c00_c97,diabetes_mellitus_e10_e14,alzheimer_disease_g30,influenza_and_pneumonia_j09_j18,chronic_lower_respiratory,other_diseases_of_respiratory,nephritis_nephrotic_syndrome,symptoms_signs_and_abnormal,diseases_of_heart_i00_i09,cerebrovascular_diseases,covid_19_u071_multiple_cause_of_death,covid_19_u071_underlying_cause_of_death,flag_otherresp,flag_otherunk,flag_nephr,flag_inflpn,flag_cov19mcod,flag_cov19ucod,flag_sept,flag_diab,flag_alz,flag_clrd,flag_stroke,flag_hd,flag_neopl,flag_allcause,flag_natcause
964,Idaho,2019,29,7/20/2019,257.0,231.0,0.0,53.0,,,,11.0,,,,60.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
965,Idaho,2019,30,7/27/2019,250.0,223.0,,49.0,,,,20.0,,,,58.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
966,Idaho,2019,31,8/3/2019,257.0,220.0,,60.0,,,,20.0,,,,49.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
967,Idaho,2019,32,8/10/2019,246.0,227.0,0.0,49.0,12.0,17.0,,13.0,,,,49.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,,,,,
968,Idaho,2019,33,8/17/2019,244.0,209.0,,59.0,,12.0,,11.0,,,,46.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
969,Idaho,2019,34,8/24/2019,249.0,218.0,,51.0,,,,11.0,,,,49.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
970,Idaho,2019,35,8/31/2019,273.0,242.0,,63.0,,17.0,,12.0,,,,55.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
971,Idaho,2019,36,9/7/2019,282.0,253.0,,63.0,,10.0,,14.0,,,,63.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
972,Idaho,2019,37,9/14/2019,261.0,240.0,,59.0,,,,17.0,,,,57.0,17.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
973,Idaho,2019,38,9/21/2019,264.0,234.0,,46.0,,,,20.0,,,,59.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
974,Idaho,2019,39,9/28/2019,272.0,236.0,,58.0,11.0,12.0,,19.0,,,,62.0,12.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
975,Idaho,2019,40,10/5/2019,267.0,240.0,,48.0,,17.0,,19.0,,0.0,,60.0,14.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
976,Idaho,2019,41,10/12/2019,249.0,228.0,,55.0,,12.0,0.0,14.0,,,,52.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
977,Idaho,2019,42,10/19/2019,280.0,262.0,,66.0,,19.0,,14.0,0.0,0.0,,57.0,15.0,0.0,0.0,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
978,Idaho,2019,43,10/26/2019,266.0,233.0,,54.0,,13.0,,16.0,11.0,,,44.0,16.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
979,Idaho,2019,44,11/2/2019,299.0,276.0,,76.0,15.0,17.0,,19.0,,,,55.0,10.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
980,Idaho,2019,45,11/9/2019,285.0,256.0,,55.0,12.0,14.0,0.0,23.0,,,,52.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
981,Idaho,2019,46,11/16/2019,284.0,257.0,,42.0,,12.0,,19.0,,,,75.0,10.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
982,Idaho,2019,47,11/23/2019,238.0,212.0,,46.0,,,,20.0,,,,53.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
983,Idaho,2019,48,11/30/2019,267.0,234.0,,45.0,,,,17.0,,,,63.0,,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
984,Idaho,2019,49,12/7/2019,268.0,251.0,,51.0,,16.0,,13.0,,,,58.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
985,Idaho,2019,50,12/14/2019,282.0,253.0,,62.0,10.0,17.0,,17.0,,,,64.0,16.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
986,Idaho,2019,51,12/21/2019,313.0,281.0,,67.0,13.0,19.0,,17.0,,,,59.0,11.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
987,Idaho,2019,52,12/28/2019,285.0,256.0,,59.0,,19.0,,17.0,11.0,,,51.0,10.0,0.0,0.0,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
988,Idaho,2020,1,1/4/2020,278.0,256.0,,68.0,,14.0,,19.0,,,,44.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,
989,Idaho,2020,2,1/11/2020,292.0,270.0,,71.0,11.0,11.0,,25.0,,,,58.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
990,Idaho,2020,3,1/18/2020,293.0,268.0,,59.0,12.0,12.0,,24.0,,,,65.0,13.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
991,Idaho,2020,4,1/25/2020,275.0,247.0,,51.0,12.0,11.0,,21.0,,,,57.0,19.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
992,Idaho,2020,5,2/1/2020,249.0,223.0,0.0,44.0,,,,19.0,,,,56.0,15.0,0.0,0.0,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
